ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018)
"1910XX","Medical scientists, & life scientists, all other",75888.9750948416,79951.13392717973,79392.81491797816,82564.82404487813,81996.94631351225
"192010","Astronomers & physicists",80037.54551050243,85187.94425027704,81753.34403404992,97161.28713190803,77180.85137366761
"192021","Atmospheric & space scientists",76180.97962496956,67011.10217486498,71631.65730577335,82445.77420718817,61814.31199424564
"192030","Chemists & materials scientists",68449.54762951794,70555.68121352601,70495.58697865797,68382.3450884749,79390.79994473103
"192041","Environmental scientists and specialists, including health",,,,,65728.77726596073
"19204X","Geoscientists and hydrologists, except geographers",,,,,87151.5303347076
"192099","Other Physical Scientists",69045.2190346263,71392.06977672738,72833.97183763316,78876.20376399184,75547.58950374777
"193011","Economists",100586.49923691216,114815.48538128805,110763.57024738722,129260.54048564586,115722.147098694
"193033","Clinical and counseling psychologists",,,,,51778.568506249576
"193034","School psychologists",,,,,62474.844013314316
"19303X","Other psychologists",,,,,53563.49249437002
"193051","Urban & regional planners",64204.44600335583,58892.859711414974,65829.20619984376,59748.527900552486,67768.66528242722
"1930XX","Miscellaneous social scientists, including survey researchers & sociologists",42754.47410752275,43396.25113655497,47171.475613287555,50161.09410485904,56629.89842761953
"194010","Agricultural and food science technicians",,,,,42315.662960484886
"194021","Biological technicians",36840.133005260475,45586.694071029146,42494.37783976218,42420.597233160974,42237.91653374233
"194031","Chemical technicians",43333.467827711764,46184.93339923247,45966.6654320386,46315.65969600039,47056.59190538452
"1940XX","Geological & petroleum technicians, & nuclear technicians",58772.760376314334,61781.92556945781,67645.45234572615,64415.146549264195,56020.70271934325
"1940YY","Miscellaneous life, physical, & social science technicians, including social science research assistants",30059.184299902317,28131.68297804157,30249.450482530836,33245.731515825275,30362.816196920303
"195010","Occupational health and safety specialists and technicians",,,,,57535.97015304272
"211011","Substance abuse and behavioral disorder counselors",,,,,37571.745777227094
"211012","Educational, guidance, and career counselors and advisors",,,,,42271.27930216287
"211013","Marriage and family therapists",,,,,26915.136379490756
"211014","Mental health counselors",,,,,35007.97858918456
"211015","Rehabilitation counselors",,,,,46693.60908408921
"211019","Counselors, all other",,,,,29336.140976319868
"211021","Child, family, and school social workers",,,,,40268.08144283756
"211022","Healthcare social workers",,,,,40489.77443785951
"211023","Mental health and substance abuse social workers",,,,,39950.28906343686
"211029","Social workers, all other",,,,,42459.290731701134
"211092","Probation officers & correctional treatment specialists",44981.676034018776,44509.37424322518,45638.61199568077,46158.65588660926,50103.980200019134
"211093","Social & human service assistants",28156.19207213793,29943.69203808991,30487.471299943725,30066.397512611566,34104.547488358694
"21109X","Miscellaneous community & social service specialists, including health educators & community health workers",33208.70212212798,35333.01418097127,36644.82175312627,35860.38883865828,38879.66378547111
"212011","Clergy",35798.937109301005,35053.049667060564,37660.92098741245,38182.24240235332,39406.083993236636
"212021","Directors, religious activities & education",30171.49882428881,33043.78183964994,33515.67332022722,34520.67769647521,34828.68519315436
"212099","Religious workers, all other",22095.479830269276,21196.074307410756,20695.087731976353,22535.05818025547,22397.294637791732
"231012","Judicial law clerks",41524.292103565094,46117.45766573296,37209.105777015764,54277.105985293514,47212.156757191064
"2310XX","Lawyers, & judges, magistrates, & other judicial workers",118350.07906614851,119831.73518835368,124676.47449738938,126870.37407893669,132250.72168375773
"232011","Paralegals & legal assistants",41070.83683675586,41858.05888365451,40565.00080676357,44008.47009303556,44297.8113126843
"232093","Title examiners, abstractors, and searchers",,,,,48875.86334200142
"232099","Legal support workers, all other",,,,,51851.69868932738
"251000","Postsecondary teachers",47297.99070483494,48348.22189083011,48446.6447486884,50119.147945541146,56115.79275977609
"252010","Preschool & kindergarten teachers",18462.794698583868,19211.3350398705,19897.374628290047,20614.259913693593,20458.870261649186
"252020","Elementary & middle school teachers",38930.48369972565,39136.469022008096,40486.32020341559,41446.07786579497,42495.22595096953
"252030","Secondary school teachers",42574.124842419165,43232.003795262135,43792.17785436084,45153.99807281824,47736.56346846089
"252050","Special education teachers",37721.05544446409,38670.163862470195,39894.93564413347,40509.80850061887,40459.866292413
"253041","Tutors",,,,,7886.36983348715
"2530XX","Other teachers and instructors",,,,,27488.374420101758
